 


  
  

NCAA Women's Soccer
Division IShutouts
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Shutouts"
"","Haylee Poltorak","Binghamton","So.","-","6"
"","Lindsey Romig","Tennessee","Fr.","GK","6"
"","Jensen Schoch","SIUE","Jr.","-","6"
"","Erin Seppi","Maryland","Sr.","GK","6"
"","Cat Sheppard","New Hampshire","So.","-","6"
"","Ashton Shields","Chattanooga","So.","GK","6"
"","Bridgette Skiba","Oregon St.","So.","GK","6"
"","Melanie Stiles","East Carolina","Jr.","-","6"
"","Mimi Stines","Northern Ky.","So.","GK","6"
"","Kelsie Stone","Drake","Jr.","-","6"
"","Steph Stull","Kentucky","Fr.","GK","6"
"","Kinga Szemik","UTRGV","Sr.","GK","6"
"","Anne-Marie Ulliac","Western Ky.","Sr.","GK","6"
"","Madison Van Dyke","Longwood","Jr.","GK","6"
"","Malia Vanisi","New Mexico","So.","GK","6"
"","Madison Waguespack","Seattle U","Fr.","-","6"
"","Diera Walton","Utah St.","Fr.","-","6"
"","Kellsey Weaver","Furman","Sr.","GK","6"
"","Madison White","Texas Tech","Fr.","-","6"
"","Kelsee Winston","Eastern Wash.","Jr.","-","6"
"135","Megan Adams","Northeastern","So.","GK","5"
"","Acelya Aydogmus","Northwestern St.","So.","GK","5"
"","Morgan Basileo","Temple","Sr.","GK","5"
"","Taryn Benham","Northern Ariz.","Jr.","-","5"
"","Eve Beyer","UAB","Fr.","-","5"
"","Thea Ebbe Birch","Jackson St.","Fr.","-","5"
"","Abby Buchholz","UNC Greensboro","Fr.","GK","5"
"","Sophia Chen","Albany (NY)","Jr.","GK","5"
"","Reaghan Duval","Campbell","So.","GK","5"
"","Kathleen Duwve","Bowling Green","Sr.","GK","5"
"","Susi Espinoza","Florida","Sr.","GK","5"
"","Alyssa Fagel","Yale","Sr.","GK","5"
"","Rebecca Gartner","Villanova","Sr.","-","5"
"","Mariel Gordon","Dartmouth","Jr.","GK","5"
"","Ashlynn Harris","Winthrop","Jr.","GK","5"
"","Kat Hess","Harvard","Sr.","GK","5"
"","Allie Jara","Utah Valley","Sr.","GK","5"
"","Olivia Jenkins","Xavier","So.","GK","5"
"","Emily Kelly","Buffalo","So.","GK","5"
"","Kelly LaMorte","Fordham","Sr.","GK","5"
"","Sophia Lettieri","Holy Cross","Jr.","-","5"
"","Sophia Lipka","IUPUI","Sr.","GK","5"
"","Brooke Lisowski","San Diego St.","Sr.","GK","5"
"","Brooke Littman","Notre Dame","Sr.","-","5"
"","Tamaki Machi","George Washington","So.","-","5"
"","Lauren Malcolm","St. Bonaventure","Sr.","-","5"
"","Haleigh Mercer","Troy","Jr.","GK","5"
